iter	MultiClass
0	1.5330128
1	1.435939783
2	1.342763876
3	1.312955148
4	1.292015011
5	1.275475656
6	1.26295857
7	1.253816616
8	1.244313193
9	1.237405106
10	1.233504627
11	1.229422163
12	1.223600211
13	1.214324551
14	1.211813486
15	1.208582813
16	1.204089042
17	1.199652242
18	1.197459506
19	1.190364972
20	1.1857883
21	1.175338013
22	1.171339605
23	1.167845828
24	1.159977445
25	1.156767335
26	1.151697837
27	1.148362512
28	1.145875907
29	1.143561636
30	1.141334875
31	1.139036105
32	1.136922092
33	1.132807452
34	1.131350121
35	1.128989606
36	1.127060083
37	1.124587905
38	1.122826168
39	1.120393612
40	1.118872808
41	1.115936748
42	1.112995906
43	1.111056583
44	1.109011773
45	1.107646838
46	1.105776729
47	1.10366747
48	1.102321352
49	1.100957678
50	1.09976245
51	1.098353537
52	1.097752966
53	1.096397093
54	1.094705221
55	1.093494581
56	1.092039103
57	1.0901935
58	1.088879795
59	1.087785443
60	1.086242133
61	1.084220045
62	1.082690993
63	1.081633929
64	1.079861695
65	1.078753747
66	1.076974362
67	1.07498272
68	1.073722262
69	1.072499984
70	1.071238209
71	1.069732232
72	1.067968925
73	1.067074995
74	1.065696807
75	1.063992622
76	1.063942017
77	1.062814201
78	1.062129641
79	1.060533262
80	1.059876498
81	1.058715805
82	1.057680858
83	1.056597729
84	1.05484099
85	1.053718122
86	1.052861152
87	1.0528351
88	1.051115567
89	1.049366071
90	1.048572715
91	1.048539096
92	1.047321809
93	1.046370501
94	1.045506359
95	1.044061984
96	1.042230372
97	1.040731358
98	1.039129349
99	1.038608106
100	1.0385866
101	1.036880712
102	1.035816521
103	1.034171774
104	1.033042609
105	1.033022881
106	1.031965687
107	1.03044838
108	1.02913042
109	1.028474633
110	1.027766273
111	1.027744392
112	1.02621717
113	1.025303012
114	1.024338008
115	1.023370641
116	1.02245538
117	1.021509878
118	1.021280877
119	1.020490265
120	1.019399259
121	1.018467733
122	1.016808612
123	1.016004087
124	1.015121533
125	1.01410945
126	1.013659332
127	1.012944609
128	1.011518036
129	1.010738128
